title,date_time,location,link,Title,Link,Date & Time,Location,lat,lon,lat_prev,lon_prev,location_refined,geo_source,geocode_confidence
AI in Healthcare: Real-World Case of Implementation and the Barriers Behind,Just added,Online,https://www.eventbrite.ca/e/ai-in-healthcare-real-world-case-of-implementation-and-the-barriers-behind-tickets-1837280398129?aff=ebdssbdestsearch,AI in Healthcare: Real-World Case of Implementation and the Barriers Behind,https://www.eventbrite.ca/e/ai-in-healthcare-real-world-case-of-implementation-and-the-barriers-behind-tickets-1837280398129?aff=ebdssbdestsearch,Just added,Online,51.3389784000,12.3955204000,52.5200000000,13.4050000000,"Online, Berlin, Germany",geocode:nominatim,medium
Google Workspace for Everyday Success - 4 Week Live Class,"Thu, Oct 30, 6:00 PM CDT",Online,https://www.eventbrite.com/e/google-workspace-for-everyday-success-4-week-live-class-registration-1830950244469?aff=ebdssbdestsearch,Google Workspace for Everyday Success - 4 Week Live Class,https://www.eventbrite.com/e/google-workspace-for-everyday-success-4-week-live-class-registration-1830950244469?aff=ebdssbdestsearch,"Thu, Oct 30, 6:00 PM CDT",Online,51.3389784000,12.3955204000,52.5200000000,13.4050000000,"Online, Berlin, Germany",geocode:nominatim,medium
Model Context Protocol (MCP) Mastery Workshop,Going fast,Online,https://www.eventbrite.com/e/model-context-protocol-mcp-mastery-workshop-tickets-1767893560229?aff=ebdssbdestsearch,Model Context Protocol (MCP) Mastery Workshop,https://www.eventbrite.com/e/model-context-protocol-mcp-mastery-workshop-tickets-1767893560229?aff=ebdssbdestsearch,Going fast,Online,51.3389784000,12.3955204000,52.5200000000,13.4050000000,"Online, Berlin, Germany",geocode:nominatim,medium
Berlin Deep Tech Nexus Meetup #7 - TU Berlin - Science & Startups,Sales end soon,"Berlin · TU Berlin, EINS - Innovationsplattform und Coworkingspace",https://www.eventbrite.com/e/berlin-deep-tech-nexus-meetup-7-tu-berlin-science-startups-tickets-1670573122179?aff=ebdssbdestsearch,Berlin Deep Tech Nexus Meetup #7 - TU Berlin - Science & Startups,https://www.eventbrite.com/e/berlin-deep-tech-nexus-meetup-7-tu-berlin-science-startups-tickets-1670573122179?aff=ebdssbdestsearch,Sales end soon,"Berlin · TU Berlin, EINS - Innovationsplattform und Coworkingspace",52.5200000000,13.4050000000,52.5200000000,13.4050000000,"Berlin · TU Berlin, EINS - Innovationsplattform und Coworkingspace, Berlin, Germany",geocode:failed,low
Berlin Tech Mixer and Social (Tech / AI / Data) ✨ Berlin Connect,Sales end soon,Berlin · Anna Koschke,https://www.eventbrite.com.au/e/berlin-tech-mixer-and-social-tech-ai-data-berlin-connect-tickets-1375964439679?aff=ebdssbdestsearch,Berlin Tech Mixer and Social (Tech / AI / Data) ✨ Berlin Connect,https://www.eventbrite.com.au/e/berlin-tech-mixer-and-social-tech-ai-data-berlin-connect-tickets-1375964439679?aff=ebdssbdestsearch,Sales end soon,Berlin · Anna Koschke,52.5200000000,13.4050000000,52.5200000000,13.4050000000,"Berlin · Anna Koschke, Berlin, Germany",geocode:failed,low
Circular Tech Awards 2026,"Sat, Sep 5, 7:30 PM",Berlin · JW Marriott Hotel Berlin,https://www.eventbrite.de/e/circular-tech-awards-2026-tickets-1720505270579?aff=ebdssbdestsearch,Circular Tech Awards 2026,https://www.eventbrite.de/e/circular-tech-awards-2026-tickets-1720505270579?aff=ebdssbdestsearch,"Sat, Sep 5, 7:30 PM",Berlin · JW Marriott Hotel Berlin,52.5200000000,13.4050000000,52.5200000000,13.4050000000,"Berlin · JW Marriott Hotel Berlin, Berlin, Germany",geocode:failed,low
Berlin Deep Tech Nexus Meetup #8 - CODE University of Applied Sciences,"Thu, Nov 27, 5:00 PM",Berlin · CODE University of Applied Sciences,https://www.eventbrite.com/e/berlin-deep-tech-nexus-meetup-8-code-university-of-applied-sciences-tickets-1670612158939?aff=ebdssbdestsearch,Berlin Deep Tech Nexus Meetup #8 - CODE University of Applied Sciences,https://www.eventbrite.com/e/berlin-deep-tech-nexus-meetup-8-code-university-of-applied-sciences-tickets-1670612158939?aff=ebdssbdestsearch,"Thu, Nov 27, 5:00 PM",Berlin · CODE University of Applied Sciences,52.5200000000,13.4050000000,52.5200000000,13.4050000000,"Berlin · CODE University of Applied Sciences, Berlin, Germany",geocode:failed,low
"The Black Girls Tech Summit 2025: The Shift -Power, Progress & Possibility",Almost full,Berlin · Zalando BHW,https://www.eventbrite.co.uk/e/the-black-girls-tech-summit-2025-the-shift-power-progress-possibility-tickets-1409246958589?aff=ebdssbdestsearch,"The Black Girls Tech Summit 2025: The Shift -Power, Progress & Possibility",https://www.eventbrite.co.uk/e/the-black-girls-tech-summit-2025-the-shift-power-progress-possibility-tickets-1409246958589?aff=ebdssbdestsearch,Almost full,Berlin · Zalando BHW,52.5200000000,13.4050000000,52.5200000000,13.4050000000,"Berlin · Zalando BHW, Berlin, Germany",geocode:failed,low
BreakfastInMotion: Deep Tech Global Recap – Insights from Japan,Tomorrow at 10:00 AM,Berlin · MotionLab.Berlin,https://www.eventbrite.com/e/breakfastinmotion-deep-tech-global-recap-insights-from-japan-tickets-1812877468309?aff=ebdssbdestsearch,BreakfastInMotion: Deep Tech Global Recap – Insights from Japan,https://www.eventbrite.com/e/breakfastinmotion-deep-tech-global-recap-insights-from-japan-tickets-1812877468309?aff=ebdssbdestsearch,Tomorrow at 10:00 AM,Berlin · MotionLab.Berlin,52.4936366000,13.4481126000,52.4856000000,13.4573000000,"Berlin · MotionLab.Berlin, Berlin, Germany",geocode:nominatim,medium
This is Techno Jazz w/ TUN - Torino Unlimited Noise (Live) & Irakli,"Sun, Nov 30, 7:00 PM",Berlin · Kantine am Berghain,https://www.eventbrite.it/e/this-is-techno-jazz-w-tun-torino-unlimited-noise-live-irakli-tickets-1759376976899?aff=ebdssbdestsearch,This is Techno Jazz w/ TUN - Torino Unlimited Noise (Live) & Irakli,https://www.eventbrite.it/e/this-is-techno-jazz-w-tun-torino-unlimited-noise-live-irakli-tickets-1759376976899?aff=ebdssbdestsearch,"Sun, Nov 30, 7:00 PM",Berlin · Kantine am Berghain,52.5200000000,13.4050000000,52.5200000000,13.4050000000,"Berlin · Kantine am Berghain, Berlin, Germany",geocode:failed,low
